"","game_id","home_team.x","away_team.x","score_differential.x","home_team.y","away_team.y","score_differential.y","home_team.x.x","away_team.x.x","score_differential.x.x","home_team.y.y","away_team.y.y","score_differential.y.y","home_team_win"
"1","2020_01_ARI_SF","SF","ARI",3,"SF","ARI",3,"SF","ARI",3,"SF","ARI",-4,0
"2","2020_01_CHI_DET","DET","CHI",0,"DET","CHI",7,"DET","CHI",17,"DET","CHI",-4,0
"3","2020_01_CLE_BAL","BAL","CLE",4,"BAL","CLE",18,"BAL","CLE",25,"BAL","CLE",32,1
"4","2020_01_DAL_LA","LA","DAL",7,"LA","DAL",-1,"LA","DAL",3,"LA","DAL",3,1
"5","2020_01_GB_MIN","MIN","GB",4,"MIN","GB",-12,"MIN","GB",-19,"MIN","GB",-9,0
"6","2020_01_HOU_KC","KC","HOU",-7,"KC","HOU",10,"KC","HOU",17,"KC","HOU",14,1
"7","2020_01_IND_JAX","JAX","IND",-7,"JAX","IND",-3,"JAX","IND",0,"JAX","IND",7,1
"8","2020_01_LAC_CIN","CIN","LAC",7,"CIN","LAC",1,"CIN","LAC",7,"CIN","LAC",-3,0
"9","2020_01_LV_CAR","CAR","LV",2,"CAR","LV",-2,"CAR","LV",-12,"CAR","LV",-4,0
"10","2020_01_MIA_NE","NE","MIA",0,"NE","MIA",4,"NE","MIA",11,"NE","MIA",10,1
"11","2020_01_NYJ_BUF","BUF","NYJ",14,"BUF","NYJ",18,"BUF","NYJ",11,"BUF","NYJ",10,1
"12","2020_01_PHI_WAS","WAS","PHI",-10,"WAS","PHI",-10,"WAS","PHI",-3,"WAS","PHI",10,1
"13","2020_01_PIT_NYG","NYG","PIT",0,"NYG","PIT",-6,"NYG","PIT",-6,"NYG","PIT",-10,0
"14","2020_01_SEA_ATL","ATL","SEA",-11,"ATL","SEA",-2,"ATL","SEA",-16,"ATL","SEA",-13,0
"15","2020_01_TB_NO","NO","TB",-7,"NO","TB",10,"NO","TB",7,"NO","TB",11,1
"16","2020_01_TEN_DEN","DEN","TEN",7,"DEN","TEN",0,"DEN","TEN",0,"DEN","TEN",-2,0
"17","2020_02_ATL_DAL","DAL","ATL",-20,"DAL","ATL",-19,"DAL","ATL",-5,"DAL","ATL",1,1
"18","2020_02_BAL_HOU","HOU","BAL",-3,"HOU","BAL",-10,"HOU","BAL",-13,"HOU","BAL",-17,0
"19","2020_02_BUF_MIA","MIA","BUF",0,"MIA","BUF",-7,"MIA","BUF",-4,"MIA","BUF",-3,0
"20","2020_02_CAR_TB","TB","CAR",14,"TB","CAR",21,"TB","CAR",14,"TB","CAR",14,1
"21","2020_02_CIN_CLE","CLE","CIN",4,"CLE","CIN",8,"CLE","CIN",12,"CLE","CIN",5,1
"22","2020_02_DEN_PIT","PIT","DEN",7,"PIT","DEN",14,"PIT","DEN",3,"PIT","DEN",5,1
"23","2020_02_DET_GB","GB","DET",-11,"GB","DET",3,"GB","DET",20,"GB","DET",21,1
"24","2020_02_JAX_TEN","TEN","JAX",7,"TEN","JAX",14,"TEN","JAX",13,"TEN","JAX",3,1
"25","2020_02_KC_LAC","LAC","KC",7,"LAC","KC",8,"LAC","KC",8,"LAC","KC",0,0
"26","2020_02_LA_PHI","PHI","LA",-11,"PHI","LA",-5,"PHI","LA",-8,"PHI","LA",-18,0
"27","2020_02_MIN_IND","IND","MIN",-3,"IND","MIN",12,"IND","MIN",15,"IND","MIN",17,1
"28","2020_02_NE_SEA","SEA","NE",0,"SEA","NE",0,"SEA","NE",11,"SEA","NE",5,1
"29","2020_02_NO_LV","LV","NO",-10,"LV","NO",0,"LV","NO",7,"LV","NO",10,1
"30","2020_02_NYG_CHI","CHI","NYG",10,"CHI","NYG",17,"CHI","NYG",14,"CHI","NYG",4,1
"31","2020_02_SF_NYJ","NYJ","SF",-4,"NYJ","SF",-18,"NYJ","SF",-18,"NYJ","SF",-18,0
"32","2020_02_WAS_ARI","ARI","WAS",14,"ARI","WAS",20,"ARI","WAS",17,"ARI","WAS",15,1
"33","2020_03_CAR_LAC","LAC","CAR",-6,"LAC","CAR",-11,"LAC","CAR",-8,"LAC","CAR",-5,0
"34","2020_03_CHI_ATL","ATL","CHI",3,"ATL","CHI",6,"ATL","CHI",16,"ATL","CHI",-4,0
"35","2020_03_CIN_PHI","PHI","CIN",0,"PHI","CIN",3,"PHI","CIN",-1,"PHI","CIN",0,0
"36","2020_03_DAL_SEA","SEA","DAL",0,"SEA","DAL",8,"SEA","DAL",8,"SEA","DAL",7,1
"37","2020_03_DET_ARI","ARI","DET",4,"ARI","DET",-4,"ARI","DET",3,"ARI","DET",-3,0
"38","2020_03_GB_NO","NO","GB",4,"NO","GB",4,"NO","GB",0,"NO","GB",-7,0
"39","2020_03_HOU_PIT","PIT","HOU",-4,"PIT","HOU",-4,"PIT","HOU",-1,"PIT","HOU",7,1
"40","2020_03_KC_BAL","BAL","KC",-3,"BAL","KC",-17,"BAL","KC",-14,"BAL","KC",-14,0
"41","2020_03_LA_BUF","BUF","LA",7,"BUF","LA",18,"BUF","LA",11,"BUF","LA",3,1
"42","2020_03_LV_NE","NE","LV",-3,"NE","LV",3,"NE","LV",13,"NE","LV",16,1
"43","2020_03_MIA_JAX","JAX","MIA",-14,"JAX","MIA",-14,"JAX","MIA",-21,"JAX","MIA",-18,0
"44","2020_03_NYJ_IND","IND","NYJ",0,"IND","NYJ",10,"IND","NYJ",24,"IND","NYJ",29,1
"45","2020_03_SF_NYG","NYG","SF",-6,"NYG","SF",-10,"NYG","SF",-14,"NYG","SF",-27,0
"46","2020_03_TB_DEN","DEN","TB",-10,"DEN","TB",-13,"DEN","TB",-18,"DEN","TB",-18,0
"47","2020_03_TEN_MIN","MIN","TEN",1,"MIN","TEN",8,"MIN","TEN",-1,"MIN","TEN",-1,0
"48","2020_03_WAS_CLE","CLE","WAS",-7,"CLE","WAS",10,"CLE","WAS",-3,"CLE","WAS",14,1
"49","2020_04_ARI_CAR","CAR","ARI",14,"CAR","ARI",14,"CAR","ARI",14,"CAR","ARI",10,1
"50","2020_04_ATL_GB","GB","ATL",7,"GB","ATL",17,"GB","ATL",18,"GB","ATL",14,1
"51","2020_04_BAL_WAS","WAS","BAL",-7,"WAS","BAL",-11,"WAS","BAL",-18,"WAS","BAL",-14,0
"52","2020_04_BUF_LV","LV","BUF",-4,"LV","BUF",-4,"LV","BUF",-1,"LV","BUF",-7,0
"53","2020_04_CLE_DAL","DAL","CLE",7,"DAL","CLE",-17,"DAL","CLE",-27,"DAL","CLE",-11,0
"54","2020_04_DEN_NYJ","NYJ","DEN",4,"NYJ","DEN",-4,"NYJ","DEN",-8,"NYJ","DEN",-9,0
"55","2020_04_IND_CHI","CHI","IND",-7,"CHI","IND",-10,"CHI","IND",-13,"CHI","IND",-8,0
"56","2020_04_JAX_CIN","CIN","JAX",-4,"CIN","JAX",-3,"CIN","JAX",14,"CIN","JAX",8,1
"57","2020_04_LAC_TB","TB","LAC",-7,"TB","LAC",-10,"TB","LAC",-3,"TB","LAC",7,1
"58","2020_04_MIN_HOU","HOU","MIN",-7,"HOU","MIN",-11,"HOU","MIN",-8,"HOU","MIN",-8,0
"59","2020_04_NE_KC","KC","NE",6,"KC","NE",3,"KC","NE",10,"KC","NE",16,1
"60","2020_04_NO_DET","DET","NO",7,"DET","NO",-14,"DET","NO",-14,"DET","NO",-6,0
"61","2020_04_NYG_LA","LA","NYG",7,"LA","NYG",4,"LA","NYG",4,"LA","NYG",8,1
"62","2020_04_PHI_SF","SF","PHI",-1,"SF","PHI",-1,"SF","PHI",3,"SF","PHI",-5,0
"63","2020_04_SEA_MIA","MIA","SEA",-7,"MIA","SEA",-8,"MIA","SEA",-5,"MIA","SEA",-8,0
"64","2020_05_ARI_NYJ","NYJ","ARI",-7,"NYJ","ARI",-14,"NYJ","ARI",-14,"NYJ","ARI",-20,0
"65","2020_05_BUF_TEN","TEN","BUF",0,"TEN","BUF",11,"TEN","BUF",18,"TEN","BUF",26,1
"66","2020_05_CAR_ATL","ATL","CAR",4,"ATL","CAR",-13,"ATL","CAR",-10,"ATL","CAR",-7,0
"67","2020_05_CIN_BAL","BAL","CIN",10,"BAL","CIN",17,"BAL","CIN",20,"BAL","CIN",24,1
"68","2020_05_IND_CLE","CLE","IND",-4,"CLE","IND",10,"CLE","IND",7,"CLE","IND",9,1
"69","2020_05_JAX_HOU","HOU","JAX",0,"HOU","JAX",3,"HOU","JAX",6,"HOU","JAX",16,1
"70","2020_05_LA_WAS","WAS","LA",1,"WAS","LA",-10,"WAS","LA",-13,"WAS","LA",-20,0
"71","2020_05_LAC_NO","NO","LAC",-3,"NO","LAC",-10,"NO","LAC",-7,"NO","LAC",0,0
"72","2020_05_LV_KC","KC","LV",4,"KC","LV",0,"KC","LV",0,"KC","LV",-8,0
"73","2020_05_MIA_SF","SF","MIA",-14,"SF","MIA",-23,"SF","MIA",-20,"SF","MIA",-26,0
"74","2020_05_MIN_SEA","SEA","MIN",-7,"SEA","MIN",-13,"SEA","MIN",2,"SEA","MIN",1,1
"75","2020_05_NYG_DAL","DAL","NYG",-11,"DAL","NYG",4,"DAL","NYG",8,"DAL","NYG",3,1
"76","2020_05_PHI_PIT","PIT","PHI",0,"PIT","PHI",3,"PIT","PHI",9,"PIT","PHI",9,1
"77","2020_05_TB_CHI","CHI","TB",-10,"CHI","TB",1,"CHI","TB",-2,"CHI","TB",1,1
"78","2020_06_ARI_DAL","DAL","ARI",0,"DAL","ARI",-18,"DAL","ARI",-25,"DAL","ARI",-28,0
"79","2020_06_ATL_MIN","MIN","ATL",-10,"MIN","ATL",-20,"MIN","ATL",-23,"MIN","ATL",-17,0
"80","2020_06_BAL_PHI","PHI","BAL",-14,"PHI","BAL",-17,"PHI","BAL",-18,"PHI","BAL",-2,0
"81","2020_06_CHI_CAR","CAR","CHI",-4,"CAR","CHI",-7,"CAR","CHI",-14,"CAR","CHI",-7,0
"82","2020_06_CIN_IND","IND","CIN",-14,"IND","CIN",-3,"IND","CIN",-6,"IND","CIN",4,1
"83","2020_06_CLE_PIT","PIT","CLE",10,"PIT","CLE",17,"PIT","CLE",24,"PIT","CLE",31,1
"84","2020_06_DEN_NE","NE","DEN",-6,"NE","DEN",-9,"NE","DEN",-15,"NE","DEN",-6,0
"85","2020_06_DET_JAX","JAX","DET",-4,"JAX","DET",-14,"JAX","DET",-14,"JAX","DET",-18,0
"86","2020_06_GB_TB","TB","GB",-10,"TB","GB",18,"TB","GB",28,"TB","GB",28,1
"87","2020_06_HOU_TEN","TEN","HOU",14,"TEN","HOU",11,"TEN","HOU",-2,"TEN","HOU",0,0
"88","2020_06_KC_BUF","BUF","KC",-4,"BUF","KC",-3,"BUF","KC",-10,"BUF","KC",-9,0
"89","2020_06_LA_SF","SF","LA",7,"SF","LA",15,"SF","LA",12,"SF","LA",8,1
"90","2020_06_NYJ_MIA","MIA","NYJ",7,"MIA","NYJ",21,"MIA","NYJ",24,"MIA","NYJ",24,1
"91","2020_06_WAS_NYG","NYG","WAS",10,"NYG","WAS",3,"NYG","WAS",3,"NYG","WAS",1,1
"92","2020_07_BUF_NYJ","NYJ","BUF",3,"NYJ","BUF",4,"NYJ","BUF",-2,"NYJ","BUF",-8,0
"93","2020_07_CAR_NO","NO","CAR",4,"NO","CAR",4,"NO","CAR",0,"NO","CAR",3,1
"94","2020_07_CHI_LA","LA","CHI",7,"LA","CHI",7,"LA","CHI",21,"LA","CHI",14,1
"95","2020_07_CLE_CIN","CIN","CLE",4,"CIN","CLE",7,"CIN","CLE",3,"CIN","CLE",-3,0
"96","2020_07_DAL_WAS","WAS","DAL",6,"WAS","DAL",19,"WAS","DAL",19,"WAS","DAL",22,1
"97","2020_07_DET_ATL","ATL","DET",-7,"ATL","DET",4,"ATL","DET",1,"ATL","DET",-1,0
"98","2020_07_DET_ATL","ATL","DET",-7,"ATL","DET",4,"ATL","DET",1,"ATL","DET",-1,0
"99","2020_07_GB_HOU","HOU","GB",-7,"HOU","GB",-21,"HOU","GB",-21,"HOU","GB",-15,0
"100","2020_07_JAX_LAC","LAC","JAX",9,"LAC","JAX",2,"LAC","JAX",7,"LAC","JAX",10,1
"101","2020_07_KC_DEN","DEN","KC",-4,"DEN","KC",-15,"DEN","KC",-21,"DEN","KC",-27,0
"102","2020_07_NYG_PHI","PHI","NYG",0,"PHI","NYG",3,"PHI","NYG",-4,"PHI","NYG",1,1
"103","2020_07_PIT_TEN","TEN","PIT",-7,"TEN","PIT",-17,"TEN","PIT",-10,"TEN","PIT",-3,0
"104","2020_07_SEA_ARI","ARI","SEA",-3,"ARI","SEA",-10,"ARI","SEA",-3,"ARI","SEA",0,0
"105","2020_07_SF_NE","NE","SF",-7,"NE","SF",-20,"NE","SF",-24,"NE","SF",-27,0
"106","2020_07_TB_LV","LV","TB",0,"LV","TB",-11,"LV","TB",-7,"LV","TB",-25,0
"107","2020_08_ATL_CAR","CAR","ATL",1,"CAR","ATL",-2,"CAR","ATL",-2,"CAR","ATL",-8,0
"108","2020_08_DAL_PHI","PHI","DAL",4,"PHI","DAL",-2,"PHI","DAL",6,"PHI","DAL",14,1
"109","2020_08_IND_DET","DET","IND",7,"DET","IND",-13,"DET","IND",-6,"DET","IND",-20,0
"110","2020_08_LA_MIA","MIA","LA",0,"MIA","LA",18,"MIA","LA",18,"MIA","LA",11,1
"111","2020_08_LAC_DEN","DEN","LAC",3,"DEN","LAC",-11,"DEN","LAC",-14,"DEN","LAC",1,1
"112","2020_08_LAC_DEN","DEN","LAC",3,"DEN","LAC",-11,"DEN","LAC",-14,"DEN","LAC",1,1
"113","2020_08_LV_CLE","CLE","LV",0,"CLE","LV",-3,"CLE","LV",0,"CLE","LV",-10,0
"114","2020_08_MIN_GB","GB","MIN",0,"GB","MIN",0,"GB","MIN",-14,"GB","MIN",-6,0
"115","2020_08_NE_BUF","BUF","NE",7,"BUF","NE",1,"BUF","NE",0,"BUF","NE",3,1
"116","2020_08_NO_CHI","CHI","NO",0,"CHI","NO",3,"CHI","NO",-3,"CHI","NO",0,0
"117","2020_08_NYJ_KC","KC","NYJ",11,"KC","NYJ",12,"KC","NYJ",19,"KC","NYJ",26,1
"118","2020_08_PIT_BAL","BAL","PIT",0,"BAL","PIT",10,"BAL","PIT",-4,"BAL","PIT",-4,0
"119","2020_08_SF_SEA","SEA","SF",6,"SEA","SF",6,"SEA","SF",20,"SEA","SF",10,1
"120","2020_08_TB_NYG","NYG","TB",4,"NYG","TB",8,"NYG","TB",2,"NYG","TB",-2,0
"121","2020_08_TEN_CIN","CIN","TEN",3,"CIN","TEN",10,"CIN","TEN",10,"CIN","TEN",11,1
"122","2020_09_BAL_IND","IND","BAL",0,"IND","BAL",3,"IND","BAL",-4,"IND","BAL",-14,0
"123","2020_09_CAR_KC","KC","CAR",-4,"KC","CAR",-4,"KC","CAR",3,"KC","CAR",2,1
"124","2020_09_CHI_TEN","TEN","CHI",3,"TEN","CHI",10,"TEN","CHI",17,"TEN","CHI",7,1
"125","2020_09_DEN_ATL","ATL","DEN",10,"ATL","DEN",17,"ATL","DEN",21,"ATL","DEN",7,1
"126","2020_09_DET_MIN","MIN","DET",13,"MIN","DET",10,"MIN","DET",17,"MIN","DET",14,1
"127","2020_09_GB_SF","SF","GB",-4,"SF","GB",-18,"SF","GB",-28,"SF","GB",-17,0
